Elapsed time,HTTP Request,HTTP2 Request
21:41.0,42.44444444,46.6
21:41.5,101.75,119.1
21:42.0,161.1111111,163.5714286
21:42.5,210.8181818,255
21:43.0,376.1111111,298.3636364
21:43.5,251.2,302
21:44.0,289.9,313.25
21:44.5,282.7,303.9230769
21:45.0,275.1875,277.3333333
21:45.5,289.9,275.5
21:46.0,226.7142857,290.5454545
21:46.5,281.6,274.7857143
21:47.0,280.1090909,282.3333333
21:47.5,275.25,265.5
21:48.0,325.5714286,306.3
21:48.5,275.8461538,310.0909091
21:49.0,321.9,279.25
21:49.5,282,288.5
21:50.0,302.625,269.7142857
21:50.5,286.1428571,243.3
21:51.0,276.8888889,260.2307692
21:51.5,300.6666667,312.1333333
21:52.0,292.8923077,322.2
21:52.5,319.75,275.6875
21:53.0,260.0769231,330.8
21:53.5,356.2222222,369.3333333
21:54.0,386.6153846,526.625
21:54.5,483.2,508.25
21:55.0,474.8854167,581.6
21:55.5,536.0769231,619.6428571
21:56.0,720.3636364,522.5333333
21:56.5,589.3846154,549.7142857
21:57.0,717.5959596,610.3636364
21:57.5,671.8,710.6428571
21:58.0,503,523.5833333
21:58.5,492.2222222,602.3333333
21:59.0,664.7777778,520.5454545
21:59.5,589.6153846,576
22:00.0,702.5959596,533.1
22:00.5,520.5833333,756.9333333
22:01.0,760.9090909,695.8571429
22:01.5,492.1428571,622.7272727
22:02.0,684.6666667,644.0833333
22:02.5,384,813.8571429
22:03.0,506.5384615,660.2
22:03.5,599.547619,639
22:04.0,392.3333333,634.4375
22:04.5,786.4444444,521.375
22:05.0,582.1064815,589.9166667
22:05.5,647,565.2
22:06.0,793.3333333,717.6363636
22:06.5,1068.875,721
22:07.0,791.9,1145.555556
22:07.5,978.7222222,1037.222222
22:08.0,1288.833333,746.5
22:08.5,930.5,906.625
22:09.0,775.4615385,496.5
22:09.5,1019.25,772.1
22:10.0,1162.833333,835.2
22:10.5,741.2575758,848.8461538
22:11.0,660.8888889,1075.5
22:11.5,899.8,628.6666667
22:12.0,667.7,999.8461538
22:12.5,1072.2,815.3333333
22:13.0,717.7,1140
22:13.5,921.3333333,1023.736842
22:14.0,615.1111111,829.4666667
22:14.5,873.25,706.5
22:15.0,1359.3,929
22:15.5,890.3571429,1672.5
22:16.0,936,982.25
22:16.5,949.75,1001.578947
22:17.0,1501.1,782.2
22:17.5,722.8461538,924.6666667
22:18.0,892.4545455,710.4
22:18.5,900.7,724.9090909
22:19.0,940.1666667,1153.125
22:19.5,959.4,1195.4
22:20.0,1192,964.0175
22:20.5,981.1428571,1317.111111
22:21.0,1499.583333,1132.9
22:21.5,963.2,1514.555556
22:22.0,1435.2,837.8
22:22.5,1366.384615,1584.375
22:23.0,1282.833333,1969.8125
22:23.5,1440.3,1116.25
22:24.0,1350.416667,1205.125
22:24.5,1566.033333,1341.769231
22:25.0,1544.444444,1848.75
22:25.5,999.7,1246.894737
22:26.0,974.5,937.8333333
22:26.5,1175.909091,1100.5
22:27.0,1282.6,1301.818182
22:27.5,1136.636364,1421.666667
22:28.0,1254.125,1265.5
