Elapsed time,HTTP Request,HTTP2 Request
21:41.0,113.6666667,46.6
21:41.5,236.25,119.1
21:42.0,342.8888889,163.5714286
21:42.5,459.9090909,255
21:43.0,614.5555556,298.4545455
21:43.5,583.1666667,302
21:44.0,579.1111111,313.25
21:44.5,584.3333333,305.75
21:45.0,504.3125,277.3333333
21:45.5,516.4,270.9230769
21:46.0,534.0833333,290.5454545
21:46.5,506.1,274.7857143
21:47.0,589.7777778,282.3333333
21:47.5,491.4444444,265.5
21:48.0,597.2307692,306.4
21:48.5,522.5384615,310.0909091
21:49.0,557,279.3125
21:49.5,529.0666667,288.6
21:50.0,542,269.7857143
21:50.5,546.1533333,243.3
21:51.0,542.2222222,260.2307692
21:51.5,554.4615385,312.1333333
21:52.0,559.9961039,322.2
21:52.5,522.625,275.8125
21:53.0,554.0769231,330.9
21:53.5,621.7777778,369.3333333
21:54.0,786.9230769,526.625
21:54.5,958,508.25
21:55.0,979.6818182,581.6
21:55.5,1026.307692,619.6428571
21:56.0,1183.272727,522.5333333
21:56.5,968,549.8571429
21:57.0,1173.363636,588.5
21:57.5,1175.3,710.6428571
21:58.0,1040,523.5833333
21:58.5,970.1111111,602.3333333
21:59.0,1278.555556,520.5454545
21:59.5,1013.846154,576
22:00.0,1300.878788,533.1
22:00.5,1053.933333,756.9333333
22:01.0,1426.166667,695.8571429
22:01.5,960.8571429,622.7272727
22:02.0,1071.75,644.0833333
22:02.5,837.5555556,813.8571429
22:03.0,1222.615385,660.2
22:03.5,1261.5,635.1666667
22:04.0,1110.777778,634.4375
22:04.5,1159.777778,521.375
22:05.0,1147.090909,590
22:05.5,1221.045455,565.2
22:06.0,1180.333333,717.6363636
22:06.5,1721.5,721
22:07.0,1497.083333,1145.666667
22:07.5,1615.923077,1037.222222
22:08.0,2632.428571,746.55
22:08.5,1432.181818,906.75
22:09.0,1650.857143,496.625
22:09.5,1783.818182,772.1
22:10.0,1934.272727,835.2
22:10.5,1388.1,848.8461538
22:11.0,1338.111111,1108.21875
22:11.5,2012.290598,628.6666667
22:12.0,1761.4,999.8461538
22:12.5,1887.133333,815.3333333
22:13.0,1281.9,1207.333333
22:13.5,1658.333333,1023.789474
22:14.0,1573.1,909.2666667
22:14.5,1744.416667,706.5
22:15.0,2117.4,929
22:15.5,1609.133333,1155.666667
22:16.0,1665.25,1014.416667
22:16.5,1622.3125,1017.388889
22:17.0,2076.6,766.0909091
22:17.5,1471.307692,987.6
22:18.0,1500.7,710.4
22:18.5,1643.75,744.1590909
22:19.0,2113.266667,1153.125
22:19.5,1886.75,1195.4
22:20.0,2117.333333,1186.272727
