Elapsed time,HTTP Request,HTTP2 Request
10:37:08.0,40.0,44.0
10:37:08.500,30.0,45.0
10:37:09.0,31.0,46.0
10:37:10.0,53.0,44.0
10:37:10.500,29.0,42.0
10:37:11.0,31.0,45.0
10:37:12.0,57.0,42.0
10:37:12.500,32.0,54.0
10:37:13.0,46.0,53.0
10:37:14.0,46.0,42.0
10:37:14.500,30.0,41.0
10:37:15.0,36.0,52.0
10:37:16.0,51.0,43.0
10:37:16.500,29.5,42.0
10:37:17.0,,43.0
10:37:18.0,52.0,37.0
10:37:18.500,29.0,41.0
10:37:19.0,,39.0
10:37:20.0,46.0,43.0
10:37:20.500,30.0,40.0
10:37:21.0,,50.0
10:37:22.0,49.0,42.0
10:37:22.500,33.5,40.0
10:37:23.0,,51.0
10:37:24.0,60.0,53.0
10:37:24.500,28.0,37.0
10:37:25.0,31.0,50.0
10:37:26.0,53.0,35.0
10:37:26.500,28.5,59.0
10:37:27.0,,40.0
